example_id,cluster_rank,lon,lat,radius_m,cluster_area_m2,cluster_pixel_count_est,recovery_class,date,label,NDVI,RRI,NDRE,BSI,NDMI,NDWI,NBR
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-01-02,2018-01,0.37364818155765533,0.31703829196480243,0.2519545108079911,0.18866655230522153,-0.11719164997339249,-0.5144333690404893,-0.027997039491310716
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-02-02,2018-02,0.34324540197849274,0.23541043319938965,0.2414990141987801,0.19345809519290924,-0.136579729616642,-0.49872457981109614,-0.07017151266336441
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-03-02,2018-03,0.2718716636300087,0.04415207777860461,0.18755509704351425,0.20405259728431702,-0.1776703521609306,-0.3992111533880234,-0.10285599529743193
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-04-02,2018-04,0.24750249832868576,-0.041181967850514443,0.15234843268990517,0.1159147322177887,-0.04579014517366886,-0.32187609374523163,0.043685995042324066
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-05-02,2018-05,0.3843703866004944,0.31390124311424306,0.22317306697368622,0.023740390315651894,0.06670452281832695,-0.41044484078884125,0.2005046159029007
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-06-02,2018-06,0.4511520564556122,0.4914411517944274,0.2794110104441643,-0.032942650839686394,0.1258803866803646,-0.4479847550392151,0.28654421865940094
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-07-02,2018-07,0.4449538588523864,0.46811710346053453,0.2621890604496002,-0.037035522982478135,0.14043584093451503,-0.44520354270935053,0.30382867902517313
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-08-02,2018-08,0.46435983479022985,0.5277427700987612,0.26564429700374603,-0.06446253764443098,0.16660283133387566,-0.45532579720020294,0.34327204525470734
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-09-02,2018-09,0.4767715781927109,0.5597037179458471,0.28823550045490265,-0.06597990868613125,0.17151285707950592,-0.4773831367492676,0.3616925925016403
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-10-02,2018-10,0.5087354481220245,0.6478924617170644,0.306876964867115,-0.10494695138186216,0.21913427859544757,-0.5170814990997314,0.40450236201286316
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-11-02,2018-11,0.48645490407943726,0.5937088023918619,0.3555422872304917,-0.028897345066070557,0.1289830394089222,-0.5479456931352615,0.3532832264900208
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2018-12-02,2018-12,0.5901288986206055,0.8627886904105659,0.41145651042461395,-0.08251930633559823,0.18974975124001503,-0.6671575903892517,0.4189104437828064
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-01-02,2019-01,0.5727099180221558,0.8126782461525047,0.41373296082019806,-0.06972579471766949,0.1762292981147766,-0.668982595205307,0.387894481420517
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-02-02,2019-02,0.45692327618598944,0.5020925686288839,0.3130657598376274,0.036868163384497166,0.06768335308879614,-0.5559509098529816,0.2699534073472023
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-03-02,2019-03,0.36836715042591095,0.2622027275932964,0.250003881752491,0.06269990699365735,0.028518850216642026,-0.4836315214633942,0.19329223781824112
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-04-02,2019-04,0.3807881474494934,0.31153786514485254,0.251404769718647,0.056320792995393276,0.022990456665866073,-0.45725017786026007,0.18469034135341644
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-05-02,2019-05,0.45282508432865143,0.4889657297100622,0.2828206568956375,-0.020491935312747955,0.11392923071980476,-0.4714317321777343,0.3069096505641937
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-06-02,2019-06,0.4964702129364013,0.6154369812723264,0.3244607523083686,-0.06183025194332003,0.15794189646840096,-0.5137403309345245,0.338601678609848
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-07-02,2019-07,0.4982505440711975,0.6224038439433073,0.32369261234998703,-0.056823319755494595,0.15192068740725517,-0.5041962713003159,0.34798291325569153
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-08-02,2019-08,0.49814949929714203,0.6115175596372434,0.31075243651866913,-0.04516286216676235,0.1529671549797058,-0.5139541327953339,0.3677029013633728
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-09-02,2019-09,0.4988732635974884,0.6116292821319951,0.31602560728788376,-0.06693751132115722,0.1721249371767044,-0.5275194644927979,0.3758267015218735
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-10-02,2019-10,0.5165600627660751,0.6647023832092052,0.3575655668973923,-0.07057736814022063,0.17440525442361832,-0.5658354759216309,0.3849012404680252
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-11-02,2019-11,,,,,,,
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2019-12-02,2019-12,0.6624939441680908,1.0705758678315378,0.4939356446266175,-0.17305297031998634,0.2839651331305504,-0.7093697190284729,0.5231790095567702
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2020-01-02,2020-01,0.6326031684875488,0.9768539642951651,0.47339344024658203,-0.1552085280418396,0.25898484140634537,-0.7001300156116486,0.4836741387844086
failed_cluster_1,1,-8.179609819352324,39.91843628426467,40,45914.69848041276,4.5914698480412754,3,2020-02-02,2020-02,0.5257560014724731,0.6924692745511308,0.39228489995002747,-0.04707879852503538,0.1353537254035473,-0.6036668866872787,0.3539985567331314
